product_id,product_name,category,brand,stock_quantity,unit_price
P001,Laptop Pro,Electronics,TechCorp,15,1299.99
P002,Wireless Mouse,Electronics,ClickTech,50,29.99
P003,USB Cable,Electronics,GenericBrand,100,9.99
P004,Keyboard,Electronics,TypeMaster,25,89.99
P005,Monitor 24",Electronics,ViewTech,12,249.99
P006,Webcam HD,Electronics,StreamCorp,30,79.99
P007,Phone Case,Accessories,ProtectPlus,75,19.99
P008,Charging Dock,Electronics,PowerUp,20,45.99
P009,Bluetooth Speaker,Electronics,SoundWave,18,129.99
P010,Tablet Stand,Accessories,StandFirm,40,34.99